lat,lng,name,id
-57.84000247340134,-34.47999900541754,Colonia del Sacramento,3443013
-56.90099656015872,-33.5439989373607,Trinidad,3439749
-58.3039974719095,-33.1389990288435,Fray Bentos,3442568
-56.28400149324307,-34.538004006675465,Canelones,3443413
-56.21499844799416,-34.09900200521719,Florida,3442585
0.789003573778132,9.26100006831723,Bassar,2367568
0.98499646233131,8.557002133057097,Sotouboua,2364079
10.4166995575967,33.399999002467325,Medenine,-1
8.9710025379012,33.689997034920566,Kebili,2468018
10.466703589415545,33.00000315432084,Tataouine,2464701
10.199997547479256,36.866673153444935,L'Ariana,-1
8.749998614579113,36.500004059426146,Jendouba,2470088
8.716698503320458,35.216703104824205,Kasserine,-1
9.500004482255633,35.01669607914971,Sdid Bouzid,2465840
9.383301599658637,36.083304125235486,Siliana,2465030
11.040876615321963,35.483913044502685,Mahdia,-1
10.767294561862002,35.730702135151205,Monastir,-1
10.146996606592154,36.39999616127193,Zaghouan,2464041
106.14699968305416,11.322999109363707,Tay Ninh,1566559
103.34300467988777,21.740003991855076,Luan Chau,-1
105.8333333000001,22.133333299999947,Bac Kan,1591538
106.75700157601534,21.84599710299534,Lang Son,1576633
103.91000465110193,21.328002138749298,Son La,1567681
105.21099961499738,21.817998095275925,Tuyen Quang,1563287
104.87500258624527,21.70500303954708,Yen Bai,1560349
106.33100460436708,20.94200107817835,Hai Duong,1581326
106.33302962790475,20.45030411511891,Thai Binh,-1
109.31599868366044,13.082004024264734,Tuy Hoa,1563281
106.65274554684555,10.969074077424182,Thu Dau Mot,1565022
107.13330066061451,16.849998103207497,Dong Ha,1582926
105.63599756179525,10.46700013054675,Cao Lanh,1586151
106.37499661484685,10.234997997750156,Truc Giang,1587976
106.33400167891898,9.93400208678969,Tra Vinh,-1
105.9640025572258,10.25600399699897,Vinh Long,1562693
106.26800464433961,22.66399805495257,Cao Bang,1586185
-87.29000053844396,15.059997106034928,Yoro,3600195
-88.16669953722379,14.33300405794239,La Esperanza,3607966
-87.68400256845393,14.319999028132543,La Paz,3607254
-88.235999625641,14.91900304258661,Santa Barbara,3601691
-88.58330051218616,14.583303057002922,Gracias,3609586
-89.18199854735434,14.43699911938154,Nueva Ocotepeque,3604384
-86.8509985369858,13.943996986701904,Yuscaran,3600165
-74.11842526340854,18.63393472721964,Jeremie,3723593
-72.8294845231228,19.93176007609145,Port-De-Paix,3740016
-72.00399560107024,19.1430000867162,Hinche,3723841
-71.8448395405403,19.66556703349886,Fort-Liberte,3725170
-72.53700258094494,18.234999026379057,Jacmel,3723779
27.225999615690228,41.74299916992038,Kirklareli,743166
29.982996597707256,40.149999022269185,Bilecik,750598
30.400002511183743,40.76666113606262,Sakarya,752850
33.78300349052358,41.389002152589,Kastamonu,743882
30.28333553854071,37.71666011092282,Burdur,320392
34.17100260079587,39.14199916537905,Kirsehir,307515
34.72399851734997,38.62400403564931,Nevsehir,303831
36.116676558439394,36.233334092927635,Antioch,323779
38.390004520672335,40.913001149121726,Giresun,746881
35.15300149966771,42.02299801774967,Sinop,739600
36.5630045214906,40.305996165228464,Tokat,738743
41.8179965353429,41.18300114329429,Artvin,-1
40.49800255801756,38.88500403553252,Bingol,321082
42.1229976473071,38.394000118037695,Bitlis,321025
32.225000000000136,-0.308888899999886,Kalangala,232571
33.621003593310206,40.60700101230674,Cankiri,749748
34.694001625412795,37.97600411582823,Nigde,303827
34.81499748509685,39.817998092919765,Yozgat,296562
39.48399961590593,40.46400012852314,Gumushane,746425
41.9329985768905,37.944000072588665,Siirt,300822
39.53330150055899,39.11670002355953,Tunceli,298846
33.9361111,1.460833300000104,Kumi,230584
33.15944439999993,1.738888900000063,Kaberamaido,233019
32.88861110000005,0.7025,Kayunga,231696
33.46861110000009,0.60916670000006,Iganga,233275
33.119722200000126,0.947222200000056,Kamuli,232397
33.70944440000011,1.145,Pallisa,226823
32.31361110000012,0.225000000000136,Mpigi,229024
31.809722199999953,3.361388900000065,Adjumani,235489
31.1025,2.475833300000033,Nebbi,227904
31.77416670000008,0.916111100000023,Kiboga,231550
32.45638889999992,1.3088889,Nakasongola,228418
32.533299524864844,0.583299105614628,Bombo,-1
31.715,1.674444400000141,Masindi,229362
30.27500161597942,0.671004121125236,Fort Portal,233476
31.06666670000004,0.8,Kibale,231617
34.300000000000125,1.25,Sironko,448228
34.07583330000011,0.454444399999943,Busia,234077
33.96611110000009,1.891111100000046,Katakwi,231947
17.910999568505588,47.09099713733832,Veszprem,3042929
16.83999958610434,46.844001026631986,Zalaegerszeg,3042638
18.432999568271782,47.5499971770771,Tatabanya,3044082
18.712998581584827,46.34399711484775,Szekszard,3044760
19.82600162636612,48.10500007944995,Salgotarjan,3045643
21.101004568360736,46.6720021102783,Bekescsaba,722437
20.38300257844014,47.89500313623637,Eger,721239
30.26416670000009,-0.879444400000011,Ntungamo,227593
29.698333300000115,-1.353888900000015,Kisoro,230993
29.566701602030776,-2.483297944739661,Gikongoro,202239
29.34999959191356,-2.050001985334575,Kibuye,202065
30.533301584478863,-2.16669593181399,Kibungo,202068
23.274000615434716,45.045000035170006,Targu Jiu,665010
24.371001555854207,44.434998142208656,Slatina,666767
25.286706542462184,43.90163106989155,Alexandria,686502
25.459002501984173,44.93799912854496,Targoviste,665024
25.83999950218447,43.92999910617101,Giurgiu,677106
27.381996593165866,44.56999805655312,Slobozia,666715
36.10500350660266,32.625000137740756,Dar'a,-1
7.344999487643292,47.36999712580081,Delemont,2661035
6.922998615397546,46.99899914474071,Neuchatel,2659496
8.034003610477498,47.390004100198894,Aarau,2661881
